editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# created: Fri Sep 11 08:20:32 2026
# by: aek156
# via: ../bathymetry-tools/editTopo.py topog_new_fillfraction_edited.nc
#
# Open Bosphorus (65m) and Dardanelles (55m), using mean depths
# https://github.com/ACCESS-NRI/access-om3-configs/issues/1643#issuecomment-5626247318
#    i     j  old  new
  3707  2468  0.0  65.0
  3707  2469  0.0  65.0
  3708  2469  0.0  65.0
  3708  2470  0.0  65.0
  3709  2470  0.0  65.0
  3680  2457  0.0  55.0
  3679  2456  0.0  55.0
  3678  2455  0.0  55.0
  3677  2454  0.0  55.0
  3676  2454  0.0  55.0
  3675  2453  0.0  55.0
