editTopo.py edits file version 1
#edits to restore Marginal seas: Med sea, Red Sea, Persian Gulf
#   i    j  old                new
  274  226  0.0                596.0
  274  227  0.0                476.0
  291  250  0.0                16.0
  290  250  0.0                16.0
  322  199  0.0                69.0
  322  198  0.0                69.0
  324  198  0.0                769.0
  321  201  0.0                106.0
  321  200  0.0                64.0
  321  199  0.0                69.0
  321  198  0.0                69.0
  323  194  0.0                212.0
  322  197  0.0                246.0
  322  195  0.0                212.0
  322  194  0.0                212.0
  322  196  0.0                212.0
  205  313  325.5453186035156  0.0
  205  312  386.1728515625     0.0
  207  308  575.3291015625     0.0
# These edits are from OM2 topography
# Most of these edits revert the new topography to the values in the previous topography 
# /g/data/ik11/inputs/access-om2/input_20200530/mom_1deg/topog.nc
# at selected points in Denmark Strait, Iceland-Faroe Strait, the Strait of Gibraltar,
# the Lombok, Ombai, Timor, Makassar Straits, the Caribbean, Drake Passage, and a few others.
# The edits in the Red Sea and at (i  j) = (207  295) in the Northwest Passage are the only ones not from the old topography.
# see https://github.com/COSIMA/access-om2/issues/158#issuecomment-669624837
  249  270  412.836120605468750     1650.0
  249  269 1339.345825195312500     1850.0
  250  269 1498.210693359375000     1850.0
  250  270  596.260620117187500     1650.0
  250  271  303.991790771484375     1300.0
  251  272  318.747100830078125     1150.0
  251  271  401.453948974609375     1300.0
  251  274  268.899902343750000     1500.0
  251  269 1172.086914062500000     1650.0
  251  268 1171.620971679687500     1850.0
  251  267 1332.213989257812500     1850.0
  251  266 1490.566528320312500     1850.0
  252  266 1225.536499023437500     1650.0
  252  267  841.178039550781250     1650.0
  252  268  657.181091308593750     1650.0
  252  269  557.504882812500000     1500.0
  252  270  614.788574218750000     1300.0
  252  272  385.604248046875000     1300.0
  252  272  385.604248046875000     1150.0
  252  273  365.377807617187500      837.7
  253  274  403.858123779296875      650.0
  253  273  541.222106933593750      837.7
  253  272  569.481872558593750     1000.0
  253  271  443.603240966796875     1000.0
  254  272  563.628173828125000      837.7
  250  268 1793.342529296875000     2000.0
  250  267 1861.387573242187500     2000.0
  249  268 2192.324462890625000     2000.0
  248  268 2242.535400390625000     2010.0
  273  260  197.131225585937500      837.7
  273  261  151.250564575195312      837.7
  274  261  236.727584838867188      837.7
  274  260  469.664978027343750      837.7
  274  259  808.902832031250000      837.7
  273  259  550.346618652343750      837.7
  273  258  795.855102539062500      837.7
  273  257  381.640197753906250      837.7
  274  257  115.888114929199219      837.7
  274  258  660.301574707031250      837.7
  272  258  729.274597167968750      837.7
  275  227    0.000000000000000      385.3
  276  227    0.000000000000000      385.3
  278  227    0.000000000000000      271.4
  275  226    0.000000000000000      385.3
  276  226    0.000000000000000      385.3
  277  226    0.000000000000000      280.7
  277  227    0.000000000000000      280.7
  278  226    0.000000000000000      228.1
  279  226    0.000000000000000      228.1
  279  227    0.000000000000000     1442.2
  279  228    0.000000000000000     1442.2
  280  228    0.000000000000000     1442.2
  280  227    0.000000000000000     1442.2
  281  227    0.000000000000000     1000.0
  281  228    0.000000000000000     1038.5
  278  228    0.000000000000000      271.4
   49  132  439.700073242187500     1000.0
   48  132  407.302215576171875     1247.3
   47  132 1646.669921875000000     1408.0
   46  132 2197.029785156250000     1406.0
   45  132  863.328430175781250     1406.0
   45  131 1861.826171875000000     1500.0
   46  131 1777.322387695312500     1500.0
   47  131  471.907531738281250     1408.0
   48  131   89.146614074707031     1000.0
   47  130  126.841140747070312     1000.0
   46  130  756.475097656250000     1500.0
   45  130 1918.676391601562500     1615.4
   44  130 1299.140869140625000     1615.4
   44  129 1710.129272460937500     1615.4
   45  129  962.508239746093750     1615.4
   46  129  292.419494628906250     1500.0
   47  129   76.886268615722656      950.0
   46  128  109.394271850585938     1000.0
   45  128  442.828552246093750     1615.4
   44  128 1354.005371093750000     1615.4
   43  128 1434.722656250000000     1890.0
   42  128  619.240600585937500     1890.0
   41  128  976.881164550781250     1890.0
   42  127 1223.981567382812500     1890.0
   43  127 1334.738891601562500     1890.0
   44  127  583.033142089843750     1615.4
   45  127  245.219619750976562     1615.4
   46  127   89.328346252441406      950.0
   45  126  146.469360351562500     1000.0
   44  126  292.248657226562500     1000.0
   43  126  493.197906494140625     1000.0
   37  161    0.000000000000000     1450.0
   37  160  253.787826538085938     1450.0
   37  159    0.000000000000000     1450.0
   37  158  141.811050415039062     1800.0
   37  157  345.378173828125000     1800.0
   37  156  688.615356445312500     1800.0
   37  155  996.407226562500000     1800.0
   37  154  799.388488769531250     1800.0
   37  153   89.785575866699219     1800.0
   37  152   42.875823974609375     1800.0
   37  150  123.604751586914062     1800.0
   37  149  516.762756347656250     1800.0
   37  148 1002.294128417968750     1800.0
   37  147 1208.562377929687500     1800.0
   37  146  971.917480468750000     1800.0
   37  151   43.120914459228516     1800.0
   38  158 2177.880371093750000     1800.0
   38  157 2142.412841796875000     1800.0
   38  156 2074.727539062500000     1800.0
   38  155 1980.368652343750000     1800.0
   38  154 1951.879516601562500     1800.0
   38  153 1684.117431640625000     1800.0
   38  152 1027.592773437500000     1800.0
   38  151  873.278381347656250     1800.0
   38  150 1442.638305664062500     1800.0
   38  149 1900.700317382812500     1800.0
   38  148 1921.529052734375000     1800.0
   38  147 1702.444458007812500     1800.0
   38  146 1330.265136718750000     1800.0
   39  155    0.000000000000000     1450.0
   39  156    0.000000000000000     1450.0
   36  157    0.000000000000000      300.0
   36  156    0.000000000000000      300.0
   36  154    0.000000000000000      300.0
   36  153   19.949247360229492      300.0
   36  152   23.163066864013672      300.0
   36  151   20.818595886230469      300.0
   36  150   26.903650283813477      300.0
   36  149   30.783948898315430      300.0
   36  148   35.335655212402344      300.0
   36  147   45.487392425537109      300.0
   36  146   50.324516296386719      300.0
   36  145   60.883029937744141      300.0
   36  155   27.038148880004883      300.0
   37  145  457.168273925781250      700.0
   38  145  651.716735839843750      700.0
   38  144  570.840820312500000      700.0
   38  143  435.103302001953125      700.0
   38  142  319.715667724609375      700.0
   38  141  268.661529541015625      700.0
   38  140  155.933013916015625      700.0
   37  144  227.437942504882812      700.0
   37  143  209.462921142578125      700.0
   37  142  285.529052734375000      700.0
   37  141  351.078094482421875      700.0
   37  140  436.282104492187500      700.0
   37  139  520.918518066406250      700.0
   37  138  508.649261474609375      700.0
   36  144  107.822746276855469      300.0
   36  143  212.447494506835938      300.0
   36  142  267.816772460937500      700.0
   36  141  297.523742675781250      700.0
   36  140  336.182220458984375      700.0
   36  139  389.698059082031250      700.0
   39  162 1732.236938476562500     1449.0
   39  161 1750.963867187500000     1449.0
   39  160 1305.913208007812500     1450.0
   39  159 1194.898803710937500     1450.0
   39  158 1343.165161132812500     1450.0
   39  157    0.000000000000000     1450.0
   38  159 2206.604736328125000     1450.0
   38  160 2293.606445312500000     1450.0
   38  161 2232.823974609375000     1449.0
   38  162 1278.005615234375000     1449.0
   38  163  238.551834106445312      769.5
   38  164    0.000000000000000      769.5
   38  165  110.351226806640625      769.5
   38  166  173.909835815429688      769.5
   37  163    0.000000000000000      769.5
   37  162    0.000000000000000      769.5
   40  162    0.000000000000000      769.5
   40  163    0.000000000000000      769.5
   39  163 2310.670410156250000      769.5
