editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# Edits to ensure Baltic sea remain open on a B-grid,
# and also to ensure several islands remain islands.
#
# created: Fri Mar  6 11:16:10 2026
# by: ek4684
# via: ./bathymetry-tools/editTopo.py ./topography_intermediate_output/topog_new_fillfraction_B.nc
#
#   i    j  old                      new
#  Baltic sea
  290  252  -1.0000000150474662e+30  14.59000015258789
  289  253  -1.0000000150474662e+30  14.59000015258789
  300  266  -1.0000000150474662e+30  52.349998474121094
#  Lincoln sea and Greenland
  227  309  -1.0000000150474662e+30  408.6470031738281
  228  309  -1.0000000150474662e+30  395.3190002441406
  229  309  -1.0000000150474662e+30  305.5610046386719
  245  311  -1.0000000150474662e+30  306.0
  244  311  -1.0000000150474662e+30  335.3689880371094
  243  311  -1.0000000150474662e+30  499.17999267578125
  242  311  -1.0000000150474662e+30  499.17999267578125
  236  310  -1.0000000150474662e+30  274.6000061035156
  237  310  -1.0000000150474662e+30  272.5
  238  310  -1.0000000150474662e+30  300.0
  239  310  -1.0000000150474662e+30  328.8999938964844
  240  310  -1.0000000150474662e+30  469.57000732421875
# Baffin bay
  206  317  -1.0000000150474662e+30  163.58200073242188
  206  316  -1.0000000150474662e+30  223.0659942626953
  206  315  -1.0000000150474662e+30  260.5069885253906
  206  314  -1.0000000150474662e+30  217.38699340820312
