editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# Edits to ensure Gulf of Riga, Mediterranean, Sea of Azov and Black Sea remain open on a B-grid,
# and also to ensure several islands remain islands.
#
# created: Wed Feb  4 11:48:53 2026
# by: aek156
# via: ../bathymetry-tools/editTopo.py --overwrite topog_new_fillfraction_B.nc
#
#    i    j  old                      new
# Gulf of Riga
  1208  852  -1.0000000150474662e+30  11.0
  1211  859  -1.0000000150474662e+30  6.0
# Strait of Gibraltar
  1097  721  -1.0000000150474662e+30  6.0
# Sea of Azov
  1267  769  -1.0000000150474662e+30  6.0
# Dardanelles and Bosphorus
  1226  743  -1.0000000150474662e+30  6.0
  1228  743  -1.0000000150474662e+30  6.0
  1236  747  -1.0000000150474662e+30  6.0
  1236  746  -1.0000000150474662e+30  6.0
# Strait of Tartary
   245   811  -1.0000000150474662e+30  2.0
   245   812  -1.0000000150474662e+30  2.0
   245   818  -1.0000000150474662e+30  2.0
# Tsugaru Strait
   241   747  -1.0000000150474662e+30  40.0
   243   748  -1.0000000150474662e+30  40.0
# Prince of Wales Strait
   610  1077  -1.0000000150474662e+30  40.0
   608  1074  -1.0000000150474662e+30  40.0
# Gulf of St Lawrence (Prince Edward Island, Newfoundland)
   868   772  -1.0000000150474662e+30  10.0
   867   772  -1.0000000150474662e+30  10.0
   859   786  -1.0000000150474662e+30  10.0
   859   784  -1.0000000150474662e+30  10.0
   893   806  -1.0000000150474662e+30  10.0
   895   807  -1.0000000150474662e+30  10.0
# Northern and western Greenland
   998  1093  -1.0000000150474662e+30  10.0
   908   979  -1.0000000150474662e+30  10.0
   910   981  -1.0000000150474662e+30  10.0
   911   980  -1.0000000150474662e+30  10.0
   912   977  -1.0000000150474662e+30  10.0
   913   975  -1.0000000150474662e+30  10.0
   909   979  -1.0000000150474662e+30  10.0
# Svalbard
  1155  1062  -1.0000000150474662e+30  10.0
  1156  1063  -1.0000000150474662e+30  10.0
# Malygina Strait, Siberia
  1345  1102  -1.0000000150474662e+30  1.0
  1343  1102  -1.0000000150474662e+30  1.0
# Brabant Island, Antarctic Peninsula
   869   226  -1.0000000150474662e+30  200.0
   870   226  -1.0000000150474662e+30  200.0
